更新时间,#genre#
CCTV-4,http://123.122.162.7:19999/udp/239.3.1.105:8092$订阅源
CCTV-4,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-5,http://114.243.98.12:8888/rtp/239.3.1.173:8001$组播源
CCTV-5,http://111.199.234.10:18888/rtp/239.3.1.173:8001$组播源
CCTV-5,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源
CCTV-5,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000005/index.m3u8$订阅源-IPv6
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8$订阅源-IPv6
CCTV-5,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010145/$订阅源-IPv6
CCTV-5,http://60.255.240.247:8090/live/CCTV-5H265_4000.m3u8$订阅源-1920x1080
CCTV-5,http://60.255.240.247:8090/live/CCTV-5H265.m3u8$订阅源-1920x1080
CCTV-5,http://116.9.204.242:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5+,http://114.243.98.12:8888/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://114.243.102.173:8888/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://221.219.79.161:4000/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8?$订阅源-IPv6
CCTV-5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/1.m3u8$订阅源-IPv6
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8$订阅源
CCTV-5+,http://59.173.183.242:9901/tsfile/live/0018_1.m3u8$订阅源
CCTV-5+,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://120.6.209.42:8866/rtp/239.253.92.193:6058$组播源
CCTV-6,http://60.7.56.33:4000/rtp/239.253.92.193:6058$组播源
CCTV-6,http://123.112.19.67:8012/rtp/239.3.1.174:8001$组播源
CCTV-6,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=3$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265006/1.m3u8$订阅源-IPv6
CCTV-6,http://60.255.240.247:8090/live/CCTV-6H265.m3u8$订阅源-1920x1080
CCTV-6,http://60.255.240.247:8090/live/CCTV-6H265_4000.m3u8$订阅源-1920x1080
CCTV-6,http://113.140.86.162:8009/hls/6/index.m3u8$订阅源
CCTV-7,http://120.6.209.42:8866/rtp/239.253.92.194:6059$组播源
CCTV-7,http://114.243.102.173:8888/rtp/239.3.1.61:8104$组播源
CCTV-7,http://111.199.234.10:18888/rtp/239.3.1.61:8104$组播源
CCTV-7,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000318/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225733/index.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228283/index.m3u8$订阅源-IPv6
CCTV-7,http://60.255.240.247:8090/live/CCTV-7H265.m3u8$订阅源-1920x1080
CCTV-7,http://60.255.240.247:8090/live/CCTV-7H265_4000.m3u8$订阅源-1920x1080
CCTV-7,http://113.140.86.162:8009/hls/504/index.m3u8$订阅源
CCTV-8,http://114.243.98.12:8888/rtp/239.3.1.175:8001$组播源
CCTV-8,http://221.222.162.206:8888/rtp/239.3.1.175:8001$组播源
CCTV-8,http://60.7.56.33:4000/rtp/239.253.92.195:6060$组播源
CCTV-8,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000008/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000582$订阅源-IPv6
CCTV-8,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000008/index.m3u8$订阅源-IPv6
CCTV-8,http://60.255.240.247:8090/live/CCTV-8H265_4000.m3u8$订阅源-1920x1080
CCTV-8,http://60.255.240.247:8090/live/CCTV-8H265.m3u8$订阅源-1920x1080
CCTV-8,http://111.196.129.152:20000/udp/239.3.1.175:8001$订阅源
CCTV-9,http://www.furymax.top:85/rtp/239.69.1.104:10262$组播源
CCTV-9,http://221.219.79.161:4000/rtp/239.3.1.62:8112$组播源
CCTV-9,http://60.7.56.33:4000/rtp/239.253.92.107:6020$组播源
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000319/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000028286/1.m3u8$订阅源-IPv6
CCTV-9,http://60.12.183.46:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://222.142.65.165:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://61.150.67.62:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://114.243.102.173:8888/rtp/239.3.1.63:8116$组播源
CCTV-10,http://111.199.234.10:18888/rtp/239.3.1.63:8116$组播源
CCTV-10,http://114.243.98.12:8888/rtp/239.3.1.63:8116$组播源
CCTV-10,http://[2409:8087:1a0a:df::4035]:80/wh7f454c46tw1741373816_102984390/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8?icpid=88888888&RTS=1713968570&from=4&hms_devid=1209&online=1713968570&vqe=3$订阅源-IPv6
CCTV-10,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000506$订阅源-IPv6
CCTV-10,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?IAS$订阅源-IPv6
CCTV-10,http://61.136.67.238:50085/tsfile/live/0011_1.m3u8$订阅源
CCTV-10,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://58.220.219.14:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-11,http://111.199.234.10:18888/rtp/239.3.1.152:8120$组播源
CCTV-11,http://120.6.209.42:8866/rtp/239.253.93.153:6321$组播源
CCTV-11,http://221.222.162.206:8888/rtp/239.3.1.152:8120$组播源
CCTV-11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8?$订阅源-IPv6
CCTV-11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8?$订阅源-IPv6
CCTV-11,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000053BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0Qj2xHA4vdPGsjBbxSL3p%2FmAObVTfznR%2Fpc%2B76QYmLRMuL3Lj9iabhv8arW7kJe6%2F4$订阅源-IPv6
CCTV-11,http://60.255.240.247:8090/live/CCTV-11-H265_4000.m3u8$订阅源-1920x1080
CCTV-11,http://120.0.52.162:8086/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://116.1.184.18:8181/tsfile/live/0011_1.m3u8$订阅源
CCTV-12,http://114.243.102.173:8888/rtp/239.3.1.64:8124$组播源
CCTV-12,http://120.6.209.42:8866/rtp/239.253.92.197:6062$组播源
CCTV-12,http://www.furymax.top:85/rtp/239.69.1.106:10274$组播源
CCTV-12,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000322/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-12,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=3$订阅源-IPv6
CCTV-12,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000509/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000287$订阅源-IPv6
CCTV-12,http://60.255.240.247:8090/live/CCTV-12H265_4000.m3u8$订阅源-1920x1080
CCTV-12,http://60.255.240.247:8090/live/CCTV-12H265.m3u8$订阅源-1920x1080
CCTV-12,http://218.89.240.144:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://114.243.98.12:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://114.243.102.173:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://221.222.162.206:8888/rtp/239.3.1.124:8128$组播源
CCTV-13,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000516/index.m3u8?IAS$订阅源-IPv6
CCTV-13,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000510/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000010$订阅源-IPv6
CCTV-13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8$订阅源-IPv6
CCTV-13,http://60.255.240.247:8090/live/CCTV-xw.m3u8$订阅源-1920x1080
CCTV-13,http://60.255.240.247:8090/live/CCTV-xw_4000.m3u8$订阅源-1920x1080
CCTV-13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-14,http://120.6.209.42:8866/rtp/239.253.92.198:6063$组播源
CCTV-14,http://221.222.162.206:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://114.243.102.173:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000511/index.m3u8?$订阅源-IPv6
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/index.m3u8$订阅源-IPv6
CCTV-14,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226591/index.m3u8$订阅源-IPv6
CCTV-14,http://60.255.240.247:8090/live/CCTV-14H265_4000.m3u8$订阅源-1920x1080
CCTV-14,http://60.255.240.247:8090/live/CCTV-14H265.m3u8$订阅源-1920x1080
CCTV-14,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15,http://www.furymax.top:85/rtp/239.69.1.155:10566$组播源
CCTV-15,http://120.6.209.42:8866/rtp/239.253.93.154:6322$组播源
CCTV-15,http://114.243.98.12:8888/rtp/239.3.1.153:8136$组播源
CCTV-15,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225601/2.m3u8$订阅源-IPv6
CCTV-15,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/1/224/3221228404/index.m3u8$订阅源-IPv6
CCTV-15,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000008163/1.m3u8$订阅源-IPv6
CCTV-15,http://101.74.31.161:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://222.218.158.217:8181/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://36.99.206.63:9901/tsfile/live/0015_1.m3u8$订阅源
CCTV-16,http://221.219.79.161:4000/rtp/239.3.1.183:8001$组播源
CCTV-16,http://222.129.139.91:8888/rtp/239.3.1.184:8001$组播源
CCTV-16,http://114.243.98.12:8888/rtp/239.3.1.183:8001$组播源
CCTV-16,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000008000023254/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$订阅源-IPv6
CCTV-16,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000016/index.m3u8?$订阅源-IPv6
CCTV-16,http://[2409:8087:74d9:21::6]:80/270000001128/9900000016/index.m3u8$订阅源-IPv6
CCTV-16,http://60.255.240.247:8090/live/CCTV-16.m3u8$订阅源-1920x1080
CCTV-16,http://60.255.240.247:8090/live/CCTV-16_4000.m3u8$订阅源-1920x1080
CCTV-16,http://223.166.234.149:7777/tsfile/live/1038_1.m3u8$订阅源
CCTV-17,http://221.219.79.161:4000/rtp/239.3.1.151:8144$组播源
CCTV-17,http://114.243.102.173:8888/rtp/239.3.1.151:8144$组播源
CCTV-17,http://221.222.162.206:8888/rtp/239.3.1.151:8144$组播源
CCTV-17,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000494/index.m3u8$订阅源-IPv6
CCTV-17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/$订阅源-IPv6
CCTV-17,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000494/index.m3u8?IAS$订阅源-IPv6
CCTV-17,http://60.255.240.247:8090/live/CCTV-17_4000.m3u8$订阅源-1920x1080
CCTV-17,http://60.255.240.247:8090/live/CCTV-17.m3u8$订阅源-1920x1080
CCTV-17,http://58.17.116.69:9908/tsfile/live/0001_18.m3u8$订阅源
CETV1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8$订阅源-IPv6
CETV1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8$订阅源-IPv6
CETV4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$订阅源-IPv6
CETV4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000072/index.m3u8$订阅源-IPv6

💰央视付费频道,#genre#
央视台球,http://222.169.41.47:9901/tsfile/live/1012_1.m3u8$订阅源
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8$订阅源
风云足球,http://163.177.122.28:9901/tsfile/live/1095_1.m3u8$订阅源
风云足球,http://163.177.122.29:9901/tsfile/live/1095_1.m3u8$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.131:6113$订阅源
世界地理,http://60.7.56.33:4000/udp/239.253.92.113:8066$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.113:8066$订阅源

📡卫视频道,#genre#
广东卫视,http://www.furymax.top:85/rtp/239.254.96.140:8914$组播源
广东卫视,http://60.7.56.33:4000/rtp/239.253.92.206:8108$组播源
广东卫视,http://120.6.209.42:8866/rtp/239.253.92.206:8108$组播源
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226248/index.m3u8$订阅源-IPv6
广东卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014176/1.m3u8$订阅源-IPv6
广东卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225597/2/index.m3u8$订阅源-IPv6
广东卫视,http://60.255.240.247:8090/live/gdwsH265_4000.m3u8$订阅源-1920x1080
广东卫视,http://115.48.61.28:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://42.48.50.232:9002/tsfile/live/0125_1.m3u8$订阅源
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$订阅源
浙江卫视,http://120.6.209.42:8866/rtp/239.253.92.90:8020$组播源
浙江卫视,http://www.furymax.top:85/rtp/239.254.96.143:8932$组播源
浙江卫视,http://114.243.98.12:8888/rtp/239.3.1.137:8036$组播源
浙江卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014260/1.m3u8$订阅源-IPv6
浙江卫视,http://[2409:8087:5e08:24::12]:6610/200000001898/460000089800010070/1.m3u8?IASHttpSessionId=RR1014820230313082645004481$订阅源-IPv6
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225703/2/index.m3u8$订阅源-IPv6
浙江卫视,http://60.255.240.247:8090/live/zjwsH265_4000.m3u8$订阅源-1920x1080
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://106.118.70.191:9901/tsfile/live/0124_1.m3u8$订阅源
湖南卫视,http://114.243.98.12:8888/rtp/239.3.1.132:8012$组播源
湖南卫视,http://coolcat.synology.me:4022/rtp/239.3.1.132:8012$组播源
湖南卫视,http://www.furymax.top:85/rtp/239.254.96.139:8908$组播源
湖南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8?$订阅源-IPv6
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/1.m3u8?$订阅源-IPv6
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000032695/1.m3u8$订阅源-IPv6
湖南卫视,http://60.255.240.247:8090/live/hnwsH265_4000.m3u8$订阅源-1920x1080
湖南卫视,http://175.16.180.250:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://221.224.4.170:1111/tsfile/live/0128_1.m3u8$订阅源
北京卫视,http://120.6.209.42:8866/rtp/239.253.92.87:8014$组播源
北京卫视,http://114.243.102.173:8888/rtp/239.3.1.241:8000$组播源
北京卫视,http://111.196.191.248:5555/rtp/239.3.1.241:8000$组播源
北京卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021288/1.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226450/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010043/1.m3u8$订阅源-IPv6
北京卫视,http://60.255.240.247:8090/live/bjwsH265_4000.m3u8$订阅源-1920x1080
北京卫视,http://202.100.46.58:9901/tsfile/live/1022_1.m3u8$订阅源
北京卫视,http://220.249.114.102:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖北卫视,http://114.243.102.173:8888/rtp/239.3.1.138:8044$组播源
湖北卫视,http://60.7.56.33:4000/rtp/239.253.92.210:6567$组播源
湖北卫视,http://221.222.162.206:8888/rtp/239.3.1.138:8044$组播源
湖北卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225740/2/index.m3u8$订阅源-IPv6
湖北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/1.m3u8?$订阅源-IPv6
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$订阅源-IPv6
湖北卫视,http://112.101.78.50:9901/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://113.57.93.165:9900/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://60.12.183.46:9901/tsfile/live/0116_1.m3u8$订阅源
黑龙江卫视,http://114.243.98.12:8888/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://221.219.79.161:4000/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://114.243.102.173:8888/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000016510/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016510&livemode=1&stbId=3$订阅源-IPv6
黑龙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$订阅源-IPv6
黑龙江卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226142/index.m3u8$订阅源-IPv6
黑龙江卫视,http://60.255.240.247:8090/live/hljwsH265_4000.m3u8$订阅源-1920x1080
黑龙江卫视,http://120.6.209.42:8866/udp/239.253.92.85:8016$订阅源
黑龙江卫视,http://61.138.128.226:19901/tsfile/live/0143_1.m3u8$订阅源
安徽卫视,http://114.243.98.12:8888/rtp/239.3.1.211:8064$组播源
安徽卫视,http://222.129.139.91:8888/rtp/239.3.1.211:8064$组播源
安徽卫视,http://60.7.56.33:4000/rtp/239.253.92.209:6566$组播源
安徽卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000030159/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=3$订阅源-IPv6
安徽卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000001000020780/index.m3u8?channel-id=bestzb&Contentid=1000000001000020780&livemode=1&stbId=3$订阅源-IPv6
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
安徽卫视,http://60.255.240.247:8090/live/ahwsH265_4000.m3u8$订阅源-1920x1080
安徽卫视,http://218.89.240.144:59901/tsfile/live/0130_1.m3u8$订阅源
安徽卫视,http://113.15.185.171:8181/tsfile/live/0130_1.m3u8$订阅源
重庆卫视,http://111.196.191.248:5555/rtp/239.3.1.122:8160$组播源
重庆卫视,http://60.7.56.33:4000/rtp/239.253.92.10:6053$组播源
重庆卫视,http://coolcat.synology.me:4022/rtp/239.3.1.122:8160$组播源
重庆卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226409/index.m3u8$订阅源-IPv6
重庆卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226409/index.m3u8$订阅源-IPv6
重庆卫视,http://[2409:8087:1a0a:df::4039]:80/wh7f454c46tw3484210288_1514322028/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8?icpid=88888888&RTS=1713970313&from=4&hms_devid=1212&online=1713970313&vqe=3$订阅源-IPv6
重庆卫视,http://60.255.240.247:8090/live/cqwsH265_4000.m3u8$订阅源-1920x1080
重庆卫视,http://111.61.236.247:9081/hls/41/index.m3u8$订阅源
重庆卫视,http://117.27.190.42:9998/tsfile/live/23254_1.m3u8$订阅源
东方卫视,http://221.222.162.206:8888/rtp/239.3.1.136:8032$组播源
东方卫视,http://114.243.98.12:8888/rtp/239.3.1.136:8032$组播源
东方卫视,http://www.furymax.top:85/rtp/239.254.96.142:8926$组播源
东方卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/index.m3u8$订阅源-IPv6
东方卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000030202/1.m3u8$订阅源-IPv6
东方卫视,http://60.255.240.247:8090/live/dfwsH265_4000.m3u8$订阅源-1920x1080
东方卫视,http://223.166.234.149:7777/tsfile/live/0107_1.m3u8$订阅源
东方卫视,http://183.94.146.109:2222/tsfile/live/0107_1.m3u8$订阅源
东南卫视,http://221.222.162.206:8888/rtp/239.3.1.156:8148$组播源
东南卫视,http://www.furymax.top:85/rtp/239.69.1.108:10286$组播源
东南卫视,http://221.219.79.161:4000/rtp/239.3.1.156:8148$组播源
东南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$订阅源-IPv6
东南卫视,http://[2409:8087:74f0:22::4]:6610/270000001128/9900000519/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000519$订阅源-IPv6
东南卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226341/index.m3u8$订阅源-IPv6
